"Time (s) Run #1","State Run #1","Block Event Times (s) Run #1","Period (s) Run #1","Block-to-Block Times (s) Run #1","Speed (m/s) Run #1","Time in Gate (s) Run #1","Time (s) Run #2","State Run #2","Block Event Times (s) Run #2","Period (s) Run #2","Block-to-Block Times (s) Run #2","Speed (m/s) Run #2","Time in Gate (s) Run #2"
290.442,1.00,290.44,3.81,0.03,,,260.249,1.00,260.25,1.75,0.06,,
290.455,0.00,,,,3.94,0.01,260.272,0.00,,,,2.18,0.02
292.770,1.00,292.77,,2.33,,,264.623,1.00,264.62,,4.37,,
292.784,0.00,,,,3.76,0.01,264.646,0.00,,,,2.12,0.02
292.799,1.00,292.80,2.36,0.03,,,264.671,1.00,264.67,4.42,0.05,,
292.810,0.00,,,,4.42,0.01,264.698,0.00,,,,1.81,0.03
296.586,1.00,296.59,,3.79,,,266.347,1.00,266.35,,1.68,,
296.597,0.00,,,,4.20,0.01,266.374,0.00,,,,1.85,0.03
296.612,1.00,296.61,3.81,0.03,,,266.396,1.00,266.40,1.73,0.05,,
296.625,0.00,,,,3.88,0.01,266.419,0.00,,,,2.21,0.02
298.933,1.00,298.93,,2.32,,,270.796,1.00,270.80,,4.40,,
298.946,0.00,,,,3.85,0.01,270.818,0.00,,,,2.26,0.02
298.958,1.00,298.96,2.35,0.03,,,270.829,1.00,270.83,4.43,0.03,,
298.969,0.00,,,,4.50,0.01,270.854,0.00,,,,2.02,0.02
,,,,,,,272.509,1.00,272.51,,1.68,,
,,,,,,,272.534,0.00,,,,2.00,0.02
,,,,,,,272.548,1.00,272.55,1.72,0.04,,
,,,,,,,272.570,0.00,,,,2.22,0.02
