"Date and Time Run #1","Time (s) Run #1","State Run #1","Time in Gate (s) Run #1","Speed (m/s) Run #1"
09/26/2022 09:52:30 am,543.300,0.00,0.11,0.45
09/26/2022 09:52:33 am,546.700,1.00,,
09/26/2022 09:52:33 am,546.822,0.00,0.12,0.41
09/26/2022 09:52:37 am,550.382,1.00,,
09/26/2022 09:52:37 am,550.531,0.00,0.15,0.34
09/26/2022 09:52:40 am,553.962,1.00,,
09/26/2022 09:52:41 am,554.119,0.00,0.16,0.32
09/26/2022 09:52:44 am,557.589,1.00,,
09/26/2022 09:52:44 am,557.738,0.00,0.15,0.34
09/26/2022 09:52:48 am,561.221,1.00,,
09/26/2022 09:52:48 am,561.371,0.00,0.15,0.33
09/26/2022 09:52:51 am,564.858,1.00,,
09/26/2022 09:52:52 am,565.019,0.00,0.16,0.31
09/26/2022 09:52:55 am,568.440,1.00,,
09/26/2022 09:52:55 am,568.593,0.00,0.15,0.33
09/26/2022 09:52:59 am,572.141,1.00,,
09/26/2022 09:52:59 am,572.265,0.00,0.12,0.40
09/26/2022 09:53:02 am,575.710,1.00,,
09/26/2022 09:53:02 am,575.827,0.00,0.12,0.43
09/26/2022 09:53:06 am,579.380,1.00,,
09/26/2022 09:53:06 am,579.496,0.00,0.12,0.43
09/26/2022 09:53:09 am,582.952,1.00,,
09/26/2022 09:53:10 am,583.067,0.00,0.12,0.43
09/26/2022 09:53:13 am,586.656,1.00,,
09/26/2022 09:53:13 am,586.776,0.00,0.12,0.42
09/26/2022 09:53:17 am,590.179,1.00,,
09/26/2022 09:53:17 am,590.324,0.00,0.14,0.35
09/26/2022 09:53:20 am,593.857,1.00,,
09/26/2022 09:53:21 am,594.023,0.00,0.17,0.30
09/26/2022 09:53:24 am,597.436,1.00,,
09/26/2022 09:53:24 am,597.609,0.00,0.17,0.29
09/26/2022 09:53:28 am,601.059,1.00,,
09/26/2022 09:53:28 am,601.225,0.00,0.17,0.30
09/26/2022 09:53:31 am,604.685,1.00,,
09/26/2022 09:53:31 am,604.856,0.00,0.17,0.29
09/26/2022 09:53:35 am,608.333,1.00,,
09/26/2022 09:53:35 am,608.505,0.00,0.17,0.29
09/26/2022 09:53:38 am,611.898,1.00,,
09/26/2022 09:53:39 am,612.048,0.00,0.15,0.33
09/26/2022 09:53:42 am,615.607,1.00,,
09/26/2022 09:53:42 am,615.734,0.00,0.13,0.39
09/26/2022 09:53:46 am,619.177,1.00,,
09/26/2022 09:53:46 am,619.299,0.00,0.12,0.41
09/26/2022 09:53:49 am,622.843,1.00,,
09/26/2022 09:53:49 am,622.968,0.00,0.13,0.40
